Date,Dividend,Ticker,Ticker_Yahoo
2021-06-02,2.260469, UNIP6,UNIP6.SA
2021-08-18,2.712563, UNIP6,UNIP6.SA
2021-11-18,2.712564, UNIP6,UNIP6.SA
2021-12-22,4.068845, UNIP6,UNIP6.SA
2022-04-22,2.486517, UNIP6,UNIP6.SA
2022-07-27,1.13276, UNIP6,UNIP6.SA
2022-08-17,4.531038, UNIP6,UNIP6.SA
2022-11-17,4.535148, UNIP6,UNIP6.SA
2023-04-24,1.742562, UNIP6,UNIP6.SA
2023-12-19,1.421145, UNIP6,UNIP6.SA
2024-03-20,1.348105, UNIP6,UNIP6.SA
2024-11-21,2.739537, UNIP6,UNIP6.SA
2025-03-19,2.29791, UNIP6,UNIP6.SA
2025-08-13,3.70103, UNIP6,UNIP6.SA
2007-12-28,0.333513, USIM5,USIM5.SA
2008-03-27,0.3147, USIM5,USIM5.SA
2008-08-21,0.56105, USIM5,USIM5.SA
2008-12-30,0.398305, USIM5,USIM5.SA
2009-03-06,0.248375, USIM5,USIM5.SA
2009-08-04,0.09547, USIM5,USIM5.SA
2009-12-30,0.32714, USIM5,USIM5.SA
2010-03-26,0.076865, USIM5,USIM5.SA
2010-10-08,0.244485, USIM5,USIM5.SA
2011-03-22,0.150599, USIM5,USIM5.SA
2012-03-20,0.086646, USIM5,USIM5.SA
2015-04-29,0.032668, USIM5,USIM5.SA
2018-04-26,0.047531, USIM5,USIM5.SA
2019-01-08,0.079187, USIM5,USIM5.SA
2019-04-24,0.068897, USIM5,USIM5.SA
2019-07-04,0.011323, USIM5,USIM5.SA
2020-04-29,0.04345, USIM5,USIM5.SA
2021-04-30,0.131916, USIM5,USIM5.SA
2021-05-26,0.005046, USIM5,USIM5.SA
2021-09-01,1.095799, USIM5,USIM5.SA
2021-12-16,0.192953, USIM5,USIM5.SA
2022-04-29,0.629128, USIM5,USIM5.SA
2023-04-28,0.328767, USIM5,USIM5.SA
2024-04-26,0.283058, USIM5,USIM5.SA
2010-10-27,0.42618, WHRL4,WHRL4.SA
2011-12-06,0.1739, WHRL4,WHRL4.SA
2012-10-31,0.22689, WHRL4,WHRL4.SA
2013-10-29,0.38563, WHRL4,WHRL4.SA
2014-06-04,0.3995, WHRL4,WHRL4.SA
2014-11-06,0.30158, WHRL4,WHRL4.SA
2014-12-10,0.0887, WHRL4,WHRL4.SA
2015-11-11,0.13837, WHRL4,WHRL4.SA
2017-04-28,0.0554, WHRL4,WHRL4.SA
2017-08-04,0.27069, WHRL4,WHRL4.SA
2017-11-08,0.23062, WHRL4,WHRL4.SA
2018-12-13,0.14902, WHRL4,WHRL4.SA
2019-07-12,0.57477, WHRL4,WHRL4.SA
2020-04-17,1.06439, WHRL4,WHRL4.SA
2020-12-09,0.26965, WHRL4,WHRL4.SA
2021-05-20,0.21288, WHRL4,WHRL4.SA
2021-11-24,0.43286, WHRL4,WHRL4.SA
2022-12-07,0.2058, WHRL4,WHRL4.SA
2023-12-07,0.3745, WHRL4,WHRL4.SA
2024-09-16,0.222305, WHRL4,WHRL4.SA
2024-12-06,0.195137, WHRL4,WHRL4.SA
2025-04-28,0.237712, WHRL4,WHRL4.SA
2025-06-13,0.134822, WHRL4,WHRL4.SA
2025-09-08,0.092246, WHRL4,WHRL4.SA
2010-05-03,0.181456, WLMM4,WLMM4.SA
2010-10-08,0.3531, WLMM4,WLMM4.SA
2011-05-02,0.034936, WLMM4,WLMM4.SA
2012-02-17,0.4444, WLMM4,WLMM4.SA
2013-05-02,0.429698, WLMM4,WLMM4.SA
2013-12-18,0.40106, WLMM4,WLMM4.SA
2014-05-02,0.21485, WLMM4,WLMM4.SA
2015-05-04,0.358094, WLMM4,WLMM4.SA
2015-09-18,1.038868, WLMM4,WLMM4.SA
2016-05-02,0.51062, WLMM4,WLMM4.SA
2019-05-02,0.20857, WLMM4,WLMM4.SA
2020-05-04,0.35172, WLMM4,WLMM4.SA
2021-04-07,0.08307, WLMM4,WLMM4.SA
2021-05-03,0.37855, WLMM4,WLMM4.SA
2021-07-06,0.08307, WLMM4,WLMM4.SA
2021-10-11,0.08307, WLMM4,WLMM4.SA
2022-01-10,0.12892, WLMM4,WLMM4.SA
2022-04-05,0.094534, WLMM4,WLMM4.SA
2022-05-02,0.5563, WLMM4,WLMM4.SA
